           wave           flux     flux_err      norm_flux     model_flux   model_flux_err       res_flux  
  3400.00000000   403.16000000   5.31233000   450.93234006   397.74058162       0.59248410     5.41941838  
  3402.00000000   404.24700000   5.50823000   450.15665970   397.11730286       0.50903025     7.12969714  
  3404.00000000   409.42400000   5.24804000   449.18242151   396.29619881       0.49545669    13.12780119  
  3406.00000000   416.73500000   5.08769000   448.20616159   395.47381688       0.48185911    21.26118312  
  3408.00000000   400.71000000   5.26138000   447.23021570   394.65251386       0.50296270     6.05748614  
  3410.00000000   396.92800000   5.19914000   446.25526807   393.83300805       0.48658228     3.09499195  
  3412.00000000   406.14300000   5.05779000   445.28513041   393.01915112       0.46335359    13.12384888  
  3414.00000000   403.50000000   4.70791000   444.31850861   392.20969290       0.43793007    11.29030710  
  3416.00000000   393.59900000   4.69623000   443.35553211   391.40481544       0.42340138     2.19418456  
  3418.00000000   386.52100000   4.77213000   442.39182001   390.60019922       0.41323812    -4.07919922  
  3420.00000000   384.47500000   4.64809000   441.43178125   389.80031688       0.40241234    -5.32531688  
  3422.00000000   381.56700000   4.53826000   440.47520184   389.00501537       0.39523342    -7.43801537  
  3424.00000000   371.51000000   4.70289000   439.52270653   388.21497536       0.40880047   -16.70497536  
  3426.00000000   375.92200000   4.69089000   438.57114861   387.42709805       0.42041597   -11.50509805  
  3428.00000000   388.31200000   4.71321000   437.62225714   386.64314765       0.42027421     1.66885235  
  3430.00000000   380.48600000   5.10423000   436.67636187   385.86348002       0.39866509    -5.37748002  
  3432.00000000   390.09400000   5.11565000   435.73069392   385.08535094       0.37132386     5.00864906  
  3434.00000000   384.38300000   4.60177000   434.78985269   384.31338273       0.35038026     0.06961727  
  3436.00000000   362.27700000   4.47994000   433.85143257   383.54519446       0.32922044   -21.26819446  
  3438.00000000   371.10400000   4.64519000   432.91529689   382.78067140       0.30754744   -11.67667140  
  3440.00000000   372.53800000   4.42318000   431.98106910   382.01944333       0.29243041    -9.48144333  
  3442.00000000   370.64500000   4.77549000   431.04907762   381.26183282       0.28540267   -10.61683282  
  3444.00000000   372.84700000   4.90226000   430.12117720   380.50967918       0.28228947    -7.66267918  
  3446.00000000   371.01600000   4.57558000   429.19462554   379.76021595       0.26259557    -8.74421595  
  3448.00000000   368.46200000   4.68678000   428.27147338   379.01546262       0.25365320   -10.55346262  
  3450.00000000   371.36700000   5.08837000   427.34870553   378.27236470       0.25136696    -6.90536470  
  3452.00000000   386.82900000   5.39375000   426.42986347   377.53441586       0.24405529     9.29458414  
  3454.00000000   387.54200000   4.88475000   425.51495511   376.80157218       0.23720904    10.74042782  
  3456.00000000   378.54800000   4.40110000   424.60256526   376.07237140       0.22948737     2.47562860  
  3458.00000000   384.96100000   4.63989000   423.69162544   375.34570539       0.22312880     9.61529461  
  3460.00000000   368.41600000   4.81181000   422.78201141   374.62141484       0.21312976    -6.20541484  
  3462.00000000   358.94400000   4.50693000   421.87401257   373.89975948       0.20681031   -14.95575948  
  3464.00000000   361.99700000   4.33398000   420.97070624   373.18378252       0.19614930   -11.18678252  
  3466.00000000   361.11500000   4.28731000   420.06983255   372.47117751       0.18655024   -11.35617751  
  3468.00000000   369.09900000   4.34645000   419.16978023   371.76027439       0.17607435    -2.66127439  
  3470.00000000   370.80200000   4.31023000   418.27202440   371.05247899       0.16690871    -0.25047899  
  3472.00000000   356.93900000   4.34089000   417.37872929   370.34988233       0.15334479   -13.41088233  
  3474.00000000   350.30600000   4.53686000   416.48637853   369.64889189       0.14450522   -19.34289189  
  3476.00000000   366.20900000   4.51027000   415.59553071   368.94997767       0.13288523    -2.74097767  
  3478.00000000   383.15800000   4.41135000   414.70734338   368.25419356       0.13456718    14.90380644  
  3480.00000000   380.81100000   4.24126000   413.82433692   367.56395394       0.14040843    13.24704606  
  3482.00000000   364.70700000   4.13414000   412.94299550   366.87564899       0.11914712    -2.16864899  
  3484.00000000   358.92000000   4.22997000   412.06136425   366.18724159       0.11279777    -7.26724159  
  3486.00000000   360.05800000   4.27059000   411.18348123   365.50268695       0.11498914    -5.44468695  
  3488.00000000   365.31100000   4.43881000   410.30881204   364.82136114       0.09128713     0.48963886  
  3490.00000000   355.43600000   4.57763000   409.43630074   364.14211351       0.06645484    -8.70611351  
  3492.00000000   365.03200000   4.56051000   408.56535886   363.46425888       0.05288384     1.56774112  
  3494.00000000   375.10400000   4.40283000   407.69633150   362.78804054       0.06617940    12.31595946  
  3496.00000000   368.32700000   4.15444000   406.83062790   362.11476758       0.07200335     6.21223242  
  3498.00000000   374.47000000   4.19044000   405.96661377   361.44271535       0.06431406    13.02728465  
  3500.00000000   365.09400000   4.14549000   405.10590911   360.77342270       0.05907631     4.32057730  
  3502.00000000   353.00700000   4.24228000   404.24591256   360.10421880       0.06197331    -7.09721880  
  3504.00000000   358.51300000   4.25148000   403.38882508   359.43723960       0.06239389    -0.92423960  
  3506.00000000   359.30000000   4.14193000   402.53356255   358.77133144       0.06530587     0.52866856  
  3508.00000000   362.76800000   4.14700000   401.68179105   358.10808901       0.07085736     4.65991099  
  3510.00000000   358.68500000   4.45499000   400.83324267   357.44717410       0.06995520     1.23782590  
  3512.00000000   366.30100000   4.61043000   399.98368779   356.78429068       0.06976545     9.51670932  
  3514.00000000   354.67200000   4.67263000   399.13734717   356.12359623       0.07436723    -1.45159623  
  3516.00000000   346.50600000   4.34142000   398.29405286   355.46486536       0.07401194    -8.95886536  
  3518.00000000   358.79600000   4.06855000   397.45395825   354.80819308       0.07897987     3.98780692  
  3520.00000000   362.59100000   4.02379000   396.61405112   354.15050311       0.07908759     8.44049689  
  3522.00000000   360.77400000   4.06834000   395.77805289   353.49545612       0.08156234     7.27854388  
  3524.00000000   358.72300000   4.17678000   394.94379929   352.84083611       0.08193402     5.88216389  
  3526.00000000   358.63900000   4.07777000   394.11039693   352.18570656       0.08207061     6.45329344  
  3528.00000000   364.35600000   4.04665000   393.28131129   351.53349690       0.08391705    12.82250310  
  3530.00000000   373.22300000   4.28262000   392.45390710   350.88154456       0.08628777    22.34145544  
  3532.00000000   359.92500000   4.04429000   391.62917742   350.23083082       0.08139095     9.69416918  
  3534.00000000   359.39800000   4.03822000   390.80460566   349.57884772       0.08234895     9.81915228  
  3536.00000000   361.07900000   4.01004000   389.98262188   348.92804768       0.08563866    12.15095232  
  3538.00000000   356.07700000   3.92051000   389.16467133   348.27991060       0.08311155     7.79708940  
  3540.00000000   343.25500000   3.93085000   388.34823932   347.63196994       0.08277834    -4.37696994  
  3542.00000000   339.97800000   3.85407000   387.53303794   346.98399414       0.08464065    -7.00599414  
  3544.00000000   346.70900000   3.82306000   386.71996494   346.33693368       0.08429914     0.37206632  
  3546.00000000   349.10100000   4.08707000   385.90867242   345.69048639       0.08262318     3.41051361  
  3548.00000000   351.43500000   4.02222000   385.09865218   345.04418923       0.08608495     6.39081077  
  3550.00000000   345.31500000   3.99433000   384.29241939   344.40060656       0.08779194     0.91439344  
  3552.00000000   338.68100000   4.22837000   383.48797389   343.75779346       0.08609637    -5.07679346  
  3554.00000000   335.33700000   4.00350000   382.68674189   343.11723248       0.08403270    -7.78023248  
  3556.00000000   332.07000000   3.71538000   381.88673076   342.47698219       0.08736688   -10.40698219  
  3558.00000000   340.07800000   3.96225000   381.08866840   341.83781196       0.08428289    -1.75981196  
  3560.00000000   350.64000000   4.04113000   380.29230588   341.19950245       0.08364531     9.44049755  
