           wave          flux     flux_err     norm_flux    model_flux   model_flux_err      res_flux  
  3400.00000000   95.86030000   1.32190000   92.22198208   91.85330113       0.11215480    4.00699887  
  3402.00000000   91.68550000   1.38601000   92.10152162   91.73440569       0.10348640   -0.04890569  
  3404.00000000   89.92560000   1.35032000   91.94208010   91.57655110       0.12127866   -1.65095110  
  3406.00000000   92.97990000   1.26672000   91.76064108   91.39672204       0.12020876    1.58317796  
  3408.00000000   95.79070000   1.29733000   91.57094304   91.20865787       0.11436989    4.58204213  
  3410.00000000   95.32690000   1.28826000   91.37946553   91.01883948       0.10983660    4.30806052  
  3412.00000000   91.05340000   1.25581000   91.18808272   90.82914346       0.10581983    0.22425654  
  3414.00000000   90.24980000   1.24672000   90.99706872   90.63984731       0.10187772   -0.39004731  
  3416.00000000   91.89290000   1.25487000   90.80645774   90.45098887       0.09797886    1.44191113  
  3418.00000000   90.32710000   1.24128000   90.61633680   90.26265876       0.09413106    0.06444124  
  3420.00000000   91.19130000   1.24187000   90.42675573   90.07491072       0.09034702    1.11638928  
  3422.00000000   91.73270000   1.24239000   90.23770491   89.88773911       0.08661887    1.84496089  
  3424.00000000   90.58950000   1.23200000   90.04917516   89.70113911       0.08296229    0.88836089  
  3426.00000000   90.44800000   1.22706000   89.86113843   89.51508743       0.07938769    0.93291257  
  3428.00000000   88.75880000   1.21388000   89.67351891   89.32951336       0.07586288   -0.57071336  
  3430.00000000   87.11780000   1.20043000   89.48628282   89.14438842       0.07235816   -2.02658842  
  3432.00000000   89.00150000   1.20858000   89.29951670   88.95980426       0.06890231    0.04169574  
  3434.00000000   88.57310000   1.20169000   89.11332667   88.77587170       0.06554123   -0.20277170  
  3436.00000000   86.06010000   1.18189000   88.92770715   88.59258972       0.06226954   -2.53248972  
  3438.00000000   86.16720000   1.17982000   88.74259074   88.40989533       0.05905725   -2.24269533  
  3440.00000000   86.36390000   1.17871000   88.55796495   88.22777978       0.05767480   -1.86387978  
  3442.00000000   84.49710000   1.16431000   88.37386216   88.04627848       0.06321369   -3.54917848  
  3444.00000000   84.51310000   1.16152000   88.19029224   87.86540363       0.06857277   -3.35230363  
  3446.00000000   83.37540000   1.14848000   88.00722444   87.68512571       0.06550374   -4.30972571  
  3448.00000000   86.74560000   1.18291000   87.82460057   87.50538664       0.06170830   -0.75978664  
  3450.00000000   88.27730000   1.28042000   87.64238154   87.32614621       0.05890136    0.95115379  
  3452.00000000   86.12140000   1.21501000   87.46059565   87.14743126       0.05601293   -1.02603126  
  3454.00000000   85.05230000   1.14013000   87.27929823   86.96929573       0.05250592   -1.91699573  
  3456.00000000   85.14030000   1.17597000   87.09848446   86.79173315       0.04574198   -1.65143315  
  3458.00000000   86.03010000   1.16573000   86.91809436   86.61468130       0.03929468   -0.58458130  
  3460.00000000   87.68600000   1.15745000   86.73809438   86.43810392       0.03329464    1.24789608  
