           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3600.00000000   0.28066000   0.01289870   0.28275171   0.28181045       0.00114901   -0.00115045  
  3602.00000000   0.28278000   0.01286540   0.28243161   0.28150730       0.00113062    0.00127270  
  3604.00000000   0.27819700   0.01276610   0.28200222   0.28109495       0.00111868   -0.00289795  
  3606.00000000   0.28405000   0.01276560   0.28152090   0.28063076       0.00110495    0.00341924  
  3608.00000000   0.28223600   0.01257630   0.28102528   0.28015237       0.00101316    0.00208363  
  3610.00000000   0.27157200   0.01243840   0.28052840   0.27967281       0.00098740   -0.00810081  
  3612.00000000   0.28470600   0.01279140   0.28003271   0.27919454       0.00096308    0.00551146  
  3614.00000000   0.28028400   0.01305630   0.27953828   0.27871762       0.00093921    0.00156638  
  3616.00000000   0.27397300   0.01330060   0.27904482   0.27824176       0.00091543   -0.00426876  
  3618.00000000   0.26679400   0.01337430   0.27855228   0.27776692       0.00089163   -0.01097292  
  3620.00000000   0.26699400   0.01334800   0.27806092   0.27729336       0.00086736   -0.01029936  
  3622.00000000   0.28258800   0.01325240   0.27757108   0.27682140       0.00083612    0.00576660  
  3624.00000000   0.28198200   0.01313040   0.27708290   0.27635120       0.00080357    0.00563080  
  3626.00000000   0.28636100   0.01326850   0.27659584   0.27588222       0.00077002    0.01047878  
  3628.00000000   0.26699100   0.01308770   0.27610942   0.27541395       0.00073856   -0.00842295  
  3630.00000000   0.27675000   0.01337710   0.27562409   0.27494687       0.00070766    0.00180313  
  3632.00000000   0.27236100   0.01346820   0.27514026   0.27448137       0.00067732   -0.00212037  
  3634.00000000   0.26144200   0.01343610   0.27465736   0.27401691       0.00064823   -0.01257491  
  3636.00000000   0.28046700   0.01345340   0.27417488   0.27355294       0.00062026    0.00691406  
  3638.00000000   0.27918200   0.01321100   0.27369299   0.27308964       0.00059080    0.00609236  
  3640.00000000   0.28879600   0.01320720   0.27321191   0.27262725       0.00056092    0.01616875  
