           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3500.00000000   5.88179000   0.10781600   5.88912866   5.86362788       0.00169325    0.01816212  
  3501.00000000   5.81180000   0.10674000   5.88588280   5.85926520       0.00166104   -0.04746520  
  3502.00000000   5.89018000   0.10683600   5.88171413   5.85397239       0.00144601    0.03620761  
  3503.00000000   5.93010000   0.10668000   5.87687828   5.84800500       0.00122135    0.08209500  
  3504.00000000   5.90439000   0.10618000   5.87165747   5.84164526       0.00132792    0.06274474  
  3505.00000000   5.85050000   0.10547500   5.86626262   5.83510427       0.00120516    0.01539573  
  3506.00000000   5.80430000   0.10468600   5.86080987   5.82849853       0.00104448   -0.02419853  
  3507.00000000   5.74819000   0.10376700   5.85534704   5.82187625       0.00091170   -0.07368625  
  3508.00000000   5.73888000   0.10327600   5.84988819   5.81525179       0.00081700   -0.07637179  
  3509.00000000   5.73584000   0.10280300   5.84443635   5.80862833       0.00076205   -0.07278833  
  3510.00000000   5.79878000   0.10274300   5.83899337   5.80200762       0.00072160   -0.00322762  
  3511.00000000   5.82541000   0.10245300   5.83356137   5.79539156       0.00071461    0.03001844  
  3512.00000000   5.77325000   0.10167700   5.82814051   5.78877998       0.00071070   -0.01552998  
  3513.00000000   5.71235000   0.10086100   5.82272737   5.78216925       0.00068895   -0.06981925  
  3514.00000000   5.75165000   0.10076600   5.81731639   5.77555350       0.00059658   -0.02390350  
  3515.00000000   5.81340000   0.10070500   5.81190319   5.76892793       0.00050553    0.04447207  
  3516.00000000   5.77021000   0.10002100   5.80648750   5.76229174       0.00041595    0.00791826  
  3517.00000000   5.73363000   0.09940690   5.80107343   5.75564863       0.00038077   -0.02201863  
  3518.00000000   5.71565000   0.09899410   5.79566679   5.74900400       0.00046261   -0.03335400  
  3519.00000000   5.78675000   0.09907170   5.79027115   5.74236096       0.00058880    0.04438904  
  3520.00000000   5.79028000   0.09873700   5.78488622   5.73571873       0.00050681    0.05456127  
  3521.00000000   5.77513000   0.09828070   5.77950975   5.72907460       0.00042685    0.04605540  
  3522.00000000   5.77326000   0.09790260   5.77414082   5.72242744       0.00034771    0.05083256  
  3523.00000000   5.70239000   0.09722430   5.76878107   5.71577877       0.00026975   -0.01338877  
  3524.00000000   5.72783000   0.09728170   5.76343224   5.70913034       0.00021929    0.01869966  
  3525.00000000   5.70692000   0.09669730   5.75809297   5.70248085       0.00020516    0.00443915  
  3526.00000000   5.64984000   0.09602850   5.75275895   5.69582603       0.00021662   -0.04598603  
  3527.00000000   5.66986000   0.09602310   5.74742634   5.68916212       0.00022208   -0.01930212  
  3528.00000000   5.65676000   0.09564430   5.74209504   5.68248894       0.00023374   -0.02572894  
  3529.00000000   5.63876000   0.09515430   5.73676858   5.67580992       0.00024630   -0.03704992  
  3530.00000000   5.65169000   0.09501330   5.73145119   5.66912905       0.00025846   -0.01743905  
  3531.00000000   5.62236000   0.09454330   5.72614426   5.66244741       0.00027000   -0.04008741  
  3532.00000000   5.64860000   0.09442120   5.72084522   5.65576199       0.00028189   -0.00716199  
  3533.00000000   5.66300000   0.09439290   5.71554978   5.64906802       0.00032700    0.01393198  
  3534.00000000   5.65479000   0.09405550   5.71025532   5.64236231       0.00037596    0.01242769  
  3535.00000000   5.64638000   0.09375300   5.70496217   5.63564468       0.00042085    0.01073532  
  3536.00000000   5.61560000   0.09324730   5.69967290   5.62891723       0.00046305   -0.01331723  
  3537.00000000   5.62096000   0.09281770   5.69439102   5.62218303       0.00050431   -0.00122303  
  3538.00000000   5.62743000   0.09268110   5.68911915   5.61544423       0.00054619    0.01198577  
  3539.00000000   5.67071000   0.09282200   5.68385687   5.60869994       0.00058863    0.06201006  
  3540.00000000   5.65958000   0.09242440   5.67860075   5.60194629       0.00062530    0.05763371  
  3541.00000000   5.57569000   0.09168710   5.67334732   5.59517961       0.00065824   -0.01948961  
  3542.00000000   5.52477000   0.09108550   5.66809645   5.58839970       0.00069144   -0.06362970  
  3543.00000000   5.53705000   0.09073470   5.66285182   5.58161011       0.00072336   -0.04456011  
  3544.00000000   5.56541000   0.09062940   5.65761806   5.57481518       0.00075153   -0.00940518  
  3545.00000000   5.63103000   0.09081720   5.65239696   5.56801622       0.00077493    0.06301378  
  3546.00000000   5.59522000   0.09033450   5.64718544   5.56120967       0.00079507    0.03401033  
  3547.00000000   5.54381000   0.08975700   5.64197716   5.55438888       0.00081430   -0.01057888  
  3548.00000000   5.55329000   0.08951610   5.63676718   5.54754874       0.00083363    0.00574126  
  3549.00000000   5.52007000   0.08892890   5.63155604   5.54068956       0.00085251   -0.02061956  
  3550.00000000   5.49805000   0.08844450   5.62634980   5.53381723       0.00087019   -0.03576723  
  3551.00000000   5.49912000   0.08816750   5.62115584   5.52693883       0.00088647   -0.02781883  
  3552.00000000   5.54527000   0.08818560   5.61597763   5.52005746       0.00090125    0.02521254  
  3553.00000000   5.56817000   0.08797480   5.61081257   5.51317001       0.00091388    0.05499999  
  3554.00000000   5.55172000   0.08755190   5.60565381   5.50626927       0.00092343    0.04545073  
  3555.00000000   5.50330000   0.08697660   5.60049449   5.49934814       0.00092952    0.00395186  
  3556.00000000   5.46997000   0.08640670   5.59533147   5.49240347       0.00093258   -0.02243347  
  3557.00000000   5.45775000   0.08601940   5.59016665   5.48543711       0.00093318   -0.02768711  
  3558.00000000   5.49281000   0.08591150   5.58500449   5.47845344       0.00093163    0.01435656  
  3559.00000000   5.51013000   0.08567250   5.57984855   5.47145583       0.00092846    0.03867417  
  3560.00000000   5.47106000   0.08513880   5.57470037   5.46444568       0.00092456    0.00661432  
  3561.00000000   5.43073000   0.08461480   5.56956116   5.45742420       0.00092017   -0.02669420  
  3562.00000000   5.44496000   0.08438320   5.56443279   5.45039327       0.00091404   -0.00543327  
  3563.00000000   5.46158000   0.08413990   5.55931660   5.44335416       0.00090434    0.01822584  
  3564.00000000   5.45043000   0.08378850   5.55421181   5.43630600       0.00089031    0.01412400  
  3565.00000000   5.45983000   0.08378310   5.54911593   5.42924630       0.00087284    0.03058370  
