           wave         flux     flux_err    norm_flux   model_flux   model_flux_err      res_flux  
  3520.00000000   0.37345700   0.04687570   0.29521334   0.31061944       0.00145641    0.06283756  
  3521.00000000   0.41977100   0.04797960   0.29506660   0.31046428       0.00145645    0.10930672  
  3522.00000000   0.30508200   0.04721360   0.29487329   0.31026250       0.00147692   -0.00518050  
  3523.00000000   0.32869600   0.04749100   0.29465228   0.31003299       0.00148814    0.01866301  
  3524.00000000   0.36179500   0.04558570   0.29441967   0.30979183       0.00148223    0.05200317  
  3525.00000000   0.31833100   0.04397500   0.29418379   0.30954736       0.00147253    0.00878364  
  3526.00000000   0.29455900   0.04411220   0.29394749   0.30930243       0.00147871   -0.01474343  
  3527.00000000   0.27088800   0.04390630   0.29371141   0.30905768       0.00149803   -0.03816968  
  3528.00000000   0.27697800   0.04331850   0.29347560   0.30881315       0.00151777   -0.03183515  
  3529.00000000   0.28985200   0.04385570   0.29324003   0.30856882       0.00151535   -0.01871682  
  3530.00000000   0.28594700   0.04314430   0.29300472   0.30832472       0.00150488   -0.02237772  
  3531.00000000   0.33877100   0.04418510   0.29276965   0.30808080       0.00149559    0.03069020  
  3532.00000000   0.31721600   0.04331550   0.29253473   0.30783700       0.00148667    0.00937900  
  3533.00000000   0.26899400   0.04179740   0.29230000   0.30759335       0.00147407   -0.03859935  
  3534.00000000   0.28991200   0.04213390   0.29206559   0.30734997       0.00146439   -0.01743797  
  3535.00000000   0.30992400   0.04160770   0.29183152   0.30710689       0.00145582    0.00281711  
  3536.00000000   0.35268800   0.04098920   0.29159766   0.30686399       0.00144652    0.04582401  
  3537.00000000   0.33235300   0.04136920   0.29136394   0.30662117       0.00143514    0.02573183  
  3538.00000000   0.27537100   0.04106630   0.29113037   0.30637847       0.00142589   -0.03100747  
  3539.00000000   0.25543700   0.04077680   0.29089700   0.30613593       0.00142388   -0.05069893  
  3540.00000000   0.29039300   0.04136840   0.29066387   0.30589359       0.00142222   -0.01550059  
  3541.00000000   0.27249600   0.04139700   0.29043103   0.30565148       0.00142051   -0.03315548  
  3542.00000000   0.25423400   0.03984520   0.29019849   0.30540965       0.00141868   -0.05117565  
  3543.00000000   0.25146300   0.04040800   0.28996620   0.30516801       0.00141680   -0.05370501  
  3544.00000000   0.30015800   0.04047040   0.28973407   0.30492651       0.00141490   -0.00476851  
  3545.00000000   0.31745900   0.03999590   0.28950212   0.30468512       0.00141297    0.01277388  
  3546.00000000   0.26709600   0.03851510   0.28927041   0.30444395       0.00141104   -0.03734795  
  3547.00000000   0.27648400   0.03885860   0.28903897   0.30420300       0.00140917   -0.02771900  
  3548.00000000   0.30848200   0.03866710   0.28880781   0.30396229       0.00140736    0.00451971  
  3549.00000000   0.28796200   0.03688330   0.28857693   0.30372182       0.00140555   -0.01575982  
  3550.00000000   0.23620500   0.03759580   0.28834633   0.30348158       0.00140367   -0.06727658  
  3551.00000000   0.29242800   0.03935700   0.28811591   0.30324147       0.00140170   -0.01081347  
  3552.00000000   0.32699800   0.03994370   0.28788563   0.30300146       0.00139970    0.02399654  
  3553.00000000   0.29682200   0.03923000   0.28765553   0.30276160       0.00138378   -0.00593960  
  3554.00000000   0.28297800   0.03792080   0.28742572   0.30252197       0.00136072   -0.01954397  
  3555.00000000   0.27891300   0.03788250   0.28719624   0.30228263       0.00133769   -0.02336963  
