obj specfile F275W dF275W mF275W rF275W F336W dF336W mF336W rF336W F475W dF475W mF475W rF475W F625W dF625W mF625W rF625W F775W dF775W mF775W rF775W F160W dF160W mF160W rF160W teff errhi_teff errlo_teff logg errhi_logg errlo_logg av errhi_av errlo_av rv errhi_rv errlo_rv dl errhi_dl errlo_dl fwhm errhi_fwhm errlo_fwhm fsig errhi_fsig errlo_fsig tau errhi_tau errlo_tau fw errhi_fw errlo_fw mu errhi_mu errlo_mu
g191b2b data/spectroscopy/mmt/g191b2b-20150124-total.flm 10.4904 0.0015 10.4903 0.0 10.8902 0.0014 10.8891 0.0011 11.4988 0.0013 11.5023 -0.0035 12.0307 0.0011 12.0326 -0.002 12.4514 0.0013 12.4493 0.0021 13.8853 0.0015 13.88 0.0052 64161.27 1125.54 775.57 7.57 0.08 0.09 0.0 0.0 0.0 3.1 0.0 0.0 283.97 5.12 4.19 3.25 2.84 1.8 28.76 13.71 13.91 1911.26208 745.96178 775.85646 0.03 0.05 0.02 52.6369 0.0163 0.0121
gd71 data/spectroscopy/soar/gd71-20170223-total.flm 11.9888 0.0015 11.991 -0.0022 12.336 0.0014 12.3345 0.0015 12.7988 0.0015 12.7979 0.0009 13.279 0.0013 13.277 0.002 13.672 0.0012 13.6743 -0.0023 15.0676 0.0019 15.0675 0.0001 33012.0 417.39 240.92 7.82 0.04 0.05 0.01 0.01 0.0 3.1 0.0 0.0 376.14 2.36 2.67 6.43 0.89 0.92 18.16 12.09 4.8 597.47372 244.48911 77.34958 0.04 0.06 0.03 53.1204 0.0165 0.0101
gd153 data/spectroscopy/mmt/gd153-20150518-total.flm 12.2016 0.0016 12.2037 -0.0021 12.5679 0.0015 12.5659 0.002 13.0998 0.0018 13.0978 0.002 13.5976 0.0014 13.5977 -0.0001 14.0017 0.0013 14.0029 -0.0012 15.4139 0.0017 15.4138 0.0001 40087.34 827.45 496.84 7.72 0.07 0.07 0.01 0.01 0.0 3.1 0.0 0.0 479.35 3.76 4.1 7.71 2.15 2.71 4.31 9.43 1.76 789.41241 1182.09268 241.29306 0.04 0.06 0.03 53.7254 0.0196 0.0134
sdssj151421 data/spectroscopy/gemini/sdssj151421-20130317-total.flm 15.11 0.0018 15.1155 -0.0055 15.3907 0.0016 15.386 0.0046 15.709 0.0017 15.7075 0.0015 16.1202 0.0015 16.1165 0.0037 16.4712 0.0013 16.4748 -0.0036 17.787 0.0045 17.7867 0.0003 28767.66 296.95 300.31 7.89 0.04 0.04 0.12 0.01 0.01 3.1 0.0 0.0 1166.51 11.15 10.65 5.05 0.37 0.37 48.85 0.91 3.18 507.21011 21.25889 5.70359 0.03 0.04 0.02 55.5849 0.0138 0.0141
sdssj181424 data/spectroscopy/gemini/sdssj181424-20150427-total.flm 15.7913 0.0017 15.7902 0.0012 16.1213 0.0016 16.1215 -0.0002 16.5441 0.002 16.5413 0.0028 17.0056 0.0019 17.0061 -0.0004 17.3926 0.0013 17.3971 -0.0044 18.7857 0.0025 18.7743 0.0113 30805.72 325.19 258.01 7.88 0.05 0.05 0.01 0.01 0.01 3.1 0.0 0.0 2065.87 13.06 13.65 3.69 1.54 1.52 4.95 9.02 2.07 855.6022 1125.65778 283.82372 0.02 0.02 0.01 56.7098 0.0155 0.0125
sdssj130234 data/spectroscopy/gemini/sdssj130234-20130215-total.flm 16.1879 0.0017 16.1853 0.0026 16.5216 0.0017 16.5244 -0.0028 17.0364 0.0024 17.0358 0.0006 17.514 0.0021 17.5128 0.0012 17.9037 0.0016 17.9048 -0.0012 19.3031 0.0045 19.2938 0.0094 40028.08 1377.14 1237.95 7.94 0.08 0.08 0.06 0.01 0.01 3.1 0.0 0.0 2942.73 38.98 42.12 2.27 2.01 1.31 16.33 12.61 4.74 627.03964 317.02605 100.86773 0.02 0.03 0.02 57.5925 0.0316 0.0325
sdssj155745 data/spectroscopy/mmt/sdssj155745-20150124-total.flm 16.4999 0.0024 16.4977 0.0022 16.8766 0.0024 16.8803 -0.0036 17.4702 0.0027 17.47 0.0002 17.9917 0.0018 17.9864 0.0054 18.388 0.0019 18.3962 -0.0082 19.8343 0.0047 19.8159 0.0183 56759.94 1787.22 2041.58 7.69 0.11 0.12 0.02 0.01 0.01 3.1 0.0 0.0 5617.25 79.04 68.65 5.41 4.23 3.09 3.77 10.51 2.69 2602.1886 4846.46146 1665.34119 0.03 0.05 0.02 58.4591 0.0248 0.0291
sdssj121405 data/spectroscopy/gemini/sdssj121405-20150218-total.flm 16.9401 0.0025 16.94 0.0 17.2827 0.0021 17.2841 -0.0014 17.7606 0.0019 17.7585 0.0021 18.2362 0.0027 18.2366 -0.0004 18.6292 0.0021 18.6335 -0.0043 20.0378 0.0041 20.0281 0.0098 33749.57 707.37 464.97 7.96 0.08 0.1 0.01 0.01 0.01 3.1 0.0 0.0 4029.44 46.73 56.75 3.8 2.7 2.13 28.45 14.14 14.09 2988.91614 1270.74259 1292.28509 0.02 0.02 0.01 58.1144 0.0274 0.0189
sdssj111059 data/spectroscopy/mmt/sdssj111059-20150124-total.flm 17.0406 0.0032 17.0427 -0.002 17.3544 0.0043 17.3561 -0.0017 17.8668 0.0026 17.86 0.0069 18.3135 0.0018 18.3152 -0.0017 18.6887 0.002 18.6908 -0.0021 20.0566 0.0047 20.0499 0.0066 46297.79 1839.06 2338.63 7.85 0.12 0.12 0.15 0.01 0.01 3.1 0.0 0.0 4914.94 92.42 79.13 5.85 4.28 3.36 6.83 11.75 3.32 1607.75903 2064.97034 717.47914 0.03 0.05 0.02 58.481 0.0333 0.0451
sdssj072752 data/spectroscopy/mmt/sdssj072752-20150124-total.flm 17.1636 0.0028 17.1566 0.007 17.4715 0.0029 17.4772 -0.0058 17.9933 0.0026 17.9956 -0.0024 18.4567 0.0025 18.4575 -0.0008 18.837 0.0029 18.8357 0.0013 20.2166 0.0068 20.199 0.0176 50103.9 1661.33 2459.38 7.77 0.1 0.11 0.15 0.01 0.01 3.1 0.0 0.0 4967.15 95.76 61.16 5.27 4.06 3.1 4.56 11.6 2.25 1008.46613 2381.4921 452.73969 0.05 0.08 0.04 58.7062 0.0268 0.0409
sdssj235144 data/spectroscopy/gemini/sdssj235144-20150915-total.flm 17.4494 0.0036 17.4394 0.0099 17.6619 0.0029 17.6703 -0.0084 18.0751 0.0027 18.0766 -0.0014 18.4595 0.0026 18.4569 0.0026 18.7868 0.0023 18.7887 -0.0018 20.0747 0.0042 20.0699 0.0048 41058.09 1993.02 1751.5 7.99 0.15 0.17 0.33 0.01 0.01 3.1 0.0 0.0 5049.86 122.38 125.81 6.78 4.51 3.95 12.08 15.55 6.13 2320.25159 1957.11253 993.19724 0.02 0.02 0.01 58.3459 0.0445 0.0424
sdssj232941 data/spectroscopy/gemini/sdssj232941-20150917-20151106-total.flm 17.9434 0.0037 17.9449 -0.0015 18.109 0.0038 18.1055 0.0035 18.1607 0.0057 18.1524 0.0083 18.4697 0.0027 18.4735 -0.0038 18.7753 0.0075 18.7859 -0.0107 19.9949 0.0065 19.9826 0.0123 21043.81 445.41 499.93 7.96 0.07 0.07 0.15 0.03 0.03 3.1 0.0 0.0 3368.9 31.04 28.81 4.02 1.96 1.59 3.95 9.16 2.24 1448.72919 2419.04656 709.20331 0.02 0.03 0.01 57.3521 0.0165 0.0183
sdssj024854 data/spectroscopy/mmt/sdssj024854-20151011.5-total.flm 17.8285 0.0035 17.8272 0.0014 18.04 0.0058 18.0441 -0.0041 18.3696 0.003 18.3704 -0.0008 18.7459 0.0025 18.7464 -0.0004 19.0773 0.0021 19.076 0.0012 20.34 0.0057 20.3427 -0.0027 33266.15 873.12 797.06 7.22 0.13 0.12 0.3 0.01 0.01 3.1 0.0 0.0 5352.24 105.48 101.09 6.71 3.16 3.15 3.6 8.8 1.93 1355.95587 2403.54823 643.02814 0.04 0.06 0.03 58.3461 0.0352 0.0327
sdssj111127 data/spectroscopy/mmt/sdssj111127-20150124-total.flm 17.4429 0.0044 17.4422 0.0007 17.8298 0.0056 17.8262 0.0036 18.4206 0.0028 18.4209 -0.0004 18.939 0.0038 18.9378 0.0012 19.3441 0.0025 19.3476 -0.0035 20.7975 0.0091 20.7676 0.0299 59422.05 2105.07 2257.43 7.76 0.12 0.13 0.03 0.01 0.01 3.1 0.0 0.0 6328.97 97.3 85.59 5.86 4.56 3.42 4.48 10.26 3.09 3717.18835 5856.96313 2394.90961 0.03 0.04 0.02 59.4479 0.0279 0.031
sdssj210150 data/spectroscopy/mmt/sdssj210150-20150518-total.flm 18.0681 0.004 18.0669 0.0013 18.3344 0.0043 18.3337 0.0007 18.656 0.003 18.656 -0.0 19.0636 0.0024 19.0629 0.0008 19.414 0.0038 19.4193 -0.0053 20.7396 0.0082 20.7283 0.0113 29061.96 515.94 536.08 7.85 0.09 0.08 0.14 0.02 0.02 3.1 0.0 0.0 5463.59 72.53 62.52 9.9 2.54 3.24 3.6 8.1 2.3 3412.41113 5942.87937 2116.21436 0.03 0.05 0.02 58.5404 0.0241 0.0246
sdssj120650 data/spectroscopy/gemini/sdssj120650-20130310-total.flm 18.2397 0.0039 18.2418 -0.0022 18.4888 0.0041 18.4852 0.0036 18.6719 0.0044 18.6735 -0.0016 19.0601 0.0029 19.062 -0.0019 19.4112 0.0066 19.4136 -0.0025 20.7027 0.0085 20.6914 0.0113 23433.52 455.92 407.63 7.94 0.05 0.05 0.04 0.02 0.02 3.1 0.0 0.0 3899.79 27.91 30.73 4.76 1.06 0.97 6.44 9.61 2.45 760.29309 783.78151 206.02972 0.02 0.04 0.02 58.2118 0.0177 0.0163
sdssj163800 data/spectroscopy/mmt/sdssj163800-20150518-total.flm 18.0158 0.0075 18.0125 0.0033 18.3177 0.004 18.3199 -0.0022 18.8399 0.005 18.8346 0.0053 19.2808 0.0031 19.2846 -0.0037 19.6605 0.0048 19.6531 0.0073 20.9963 0.0088 20.9981 -0.0019 57180.7 4238.47 3931.48 7.63 0.25 0.24 0.2 0.01 0.02 3.1 0.0 0.0 10631.68 307.64 355.82 6.35 5.56 3.89 5.56 9.52 3.04 4451.87061 5422.70123 2211.08155 0.03 0.04 0.02 59.6163 0.0567 0.0573
sdssj102430 data/spectroscopy/soar/sdssj102430-20170223-total.flm 18.2606 0.0183 18.2532 0.0074 18.5143 0.0044 18.5085 0.0058 18.9042 0.0045 18.9113 -0.0072 19.3174 0.0039 19.3182 -0.0008 19.6649 0.0099 19.6667 -0.0017 20.9905 0.0128 20.973 0.0176 36691.48 1665.84 1482.82 7.54 0.28 0.22 0.24 0.02 0.02 3.1 0.0 0.0 6094.44 273.0 120.32 12.42 6.41 7.15 2.25 6.3 1.67 10295.54443 6389.20486 5705.88688 0.03 0.05 0.02 59.133 0.0465 0.0458
sdssj010322 data/spectroscopy/gemini/sdssj010322-20131129-total.flm 18.1952 0.0045 18.189 0.0062 18.5268 0.0055 18.534 -0.0072 19.0833 0.0052 19.0877 -0.0044 19.5686 0.0047 19.5716 -0.003 19.9648 0.0062 19.9602 0.0046 21.3552 0.0121 21.3401 0.015 59061.46 3389.28 4122.28 7.47 0.14 0.15 0.12 0.01 0.02 3.1 0.0 0.0 8174.21 193.48 152.79 4.52 4.33 2.84 5.89 12.78 2.95 937.05292 1338.738 363.28778 0.02 0.03 0.02 60.0072 0.0464 0.0575
sdssj131445 data/spectroscopy/gemini/sdssj131445-20130309-total.flm 18.2577 0.0042 18.2614 -0.0037 18.5969 0.0051 18.59 0.0069 19.1018 0.0048 19.1 0.0018 19.5668 0.0046 19.5705 -0.0037 19.9553 0.0091 19.9557 -0.0004 21.3284 0.0123 21.3307 -0.0023 43670.12 2812.4 2034.72 7.65 0.18 0.14 0.11 0.02 0.02 3.1 0.0 0.0 7574.0 177.44 141.61 16.49 3.44 5.77 7.33 13.65 4.01 1443.70148 1746.69951 671.28577 0.02 0.03 0.02 59.7152 0.0538 0.0442
sdssj081508 data/spectroscopy/gemini/sdssj081508-20130214-total.flm 18.9505 0.0065 18.9465 0.004 19.2635 0.008 19.2684 -0.0048 19.7162 0.0053 19.7178 -0.0016 20.1838 0.0053 20.1877 -0.0039 20.5794 0.0064 20.5746 0.0048 21.9616 0.0243 21.9462 0.0155 34734.98 1708.62 1108.72 7.2 0.11 0.1 0.07 0.03 0.02 3.1 0.0 0.0 9050.48 153.85 202.77 4.28 2.72 2.32 6.04 11.98 3.23 1391.53052 1989.58923 655.03066 0.02 0.04 0.02 60.0627 0.0572 0.0442
sdssj022817 data/spectroscopy/gemini/sdssj022817-20131013-total.flm 19.5183 0.0085 19.5174 0.0009 19.7152 0.0104 19.7176 -0.0024 19.8151 0.0073 19.8132 0.0019 20.169 0.0071 20.1689 0.0001 20.5014 0.0057 20.5025 -0.0011 21.7371 0.0173 21.7383 -0.0013 21390.82 721.63 608.29 7.94 0.08 0.1 0.07 0.04 0.03 3.1 0.0 0.0 5603.85 71.79 70.06 4.95 2.46 1.97 4.07 8.74 1.83 892.36609 1670.59782 326.0521 0.02 0.04 0.02 59.1419 0.0301 0.0258
