obj           specfile                                                             F275W   dF275W    mF275W    rF275W     F336W   dF336W    mF336W    rF336W     F475W   dF475W    mF475W    rF475W     F625W   dF625W    mF625W    rF625W     F775W   dF775W    mF775W    rF775W     F160W   dF160W    mF160W    rF160W
g191b2b       data/spectroscopy/mmt/g191b2b-20150124-total.flm                   10.4904   0.0015   10.4903    0.0000   10.8902   0.0014   10.8891    0.0011   11.4988   0.0013   11.5023   -0.0035   12.0307   0.0011   12.0326   -0.0020   12.4514   0.0013   12.4493    0.0021   13.8853   0.0015   13.8800    0.0052
gd153         data/spectroscopy/mmt/gd153-20150518-total.flm                     12.2016   0.0016   12.2037   -0.0021   12.5679   0.0015   12.5659    0.0020   13.0998   0.0018   13.0978    0.0020   13.5976   0.0014   13.5977   -0.0001   14.0017   0.0013   14.0029   -0.0012   15.4139   0.0017   15.4138    0.0001
gd71          data/spectroscopy/mmt/gd71-20150124-total.flm                      11.9888   0.0015   11.9908   -0.0020   12.3360   0.0014   12.3335    0.0025   12.7988   0.0015   12.7989   -0.0001   13.2790   0.0013   13.2774    0.0015   13.6720   0.0012   13.6742   -0.0022   15.0676   0.0019   15.0668    0.0008
gd71          data/spectroscopy/soar/gd71-20160210-total.flm                     11.9888   0.0015   11.9912   -0.0024   12.3360   0.0014   12.3344    0.0016   12.7988   0.0015   12.7977    0.0011   13.2790   0.0013   13.2770    0.0020   13.6720   0.0012   13.6743   -0.0023   15.0676   0.0019   15.0672    0.0004
gd71          data/spectroscopy/soar/gd71-20160211-total.flm                     11.9888   0.0015   11.9911   -0.0024   12.3360   0.0014   12.3338    0.0022   12.7988   0.0015   12.7977    0.0011   13.2790   0.0013   13.2774    0.0016   13.6720   0.0012   13.6745   -0.0025   15.0676   0.0019   15.0669    0.0007
gd71          data/spectroscopy/soar/gd71-20161005-total.flm                     11.9888   0.0015   11.9909   -0.0022   12.3360   0.0014   12.3338    0.0022   12.7988   0.0015   12.7981    0.0007   13.2790   0.0013   13.2773    0.0016   13.6720   0.0012   13.6744   -0.0024   15.0676   0.0019   15.0671    0.0005
gd71          data/spectroscopy/soar/gd71-20161006-total.flm                     11.9888   0.0015   11.9911   -0.0024   12.3360   0.0014   12.3335    0.0025   12.7988   0.0015   12.7972    0.0016   13.2790   0.0013   13.2776    0.0014   13.6720   0.0012   13.6747   -0.0027   15.0676   0.0019   15.0668    0.0009
gd71          data/spectroscopy/soar/gd71-20161007-total.flm                     11.9888   0.0015   11.9909   -0.0022   12.3360   0.0014   12.3341    0.0018   12.7988   0.0015   12.7978    0.0010   13.2790   0.0013   13.2772    0.0018   13.6720   0.0012   13.6744   -0.0024   15.0676   0.0019   15.0674    0.0003
gd71          data/spectroscopy/soar/gd71-20170222-total.flm                     11.9888   0.0015   11.9910   -0.0023   12.3360   0.0014   12.3340    0.0020   12.7988   0.0015   12.7983    0.0005   13.2790   0.0013   13.2772    0.0018   13.6720   0.0012   13.6743   -0.0023   15.0676   0.0019   15.0671    0.0005
gd71          data/spectroscopy/soar/gd71-20170223-total.flm                     11.9888   0.0015   11.9910   -0.0022   12.3360   0.0014   12.3345    0.0015   12.7988   0.0015   12.7979    0.0009   13.2790   0.0013   13.2770    0.0020   13.6720   0.0012   13.6743   -0.0023   15.0676   0.0019   15.0675    0.0001
