obj           specfile                                                               teff   errhi_teff   errlo_teff   logg   errhi_logg   errlo_logg     av   errhi_av   errlo_av     rv   errhi_rv   errlo_rv         dl   errhi_dl   errlo_dl    fwhm   errhi_fwhm   errlo_fwhm    fsig   errhi_fsig   errlo_fsig           tau    errhi_tau    errlo_tau     fw   errhi_fw   errlo_fw        mu   errhi_mu   errlo_mu
g191b2b       data/spectroscopy/mmt/g191b2b-20150124-total.flm                   64161.27      1125.54       775.57   7.57         0.08         0.09   0.00       0.00       0.00   3.10       0.00       0.00     283.97       5.12       4.19    3.25         2.84         1.80   28.76        13.71        13.91    1911.26208    745.96178    775.85646   0.03       0.05       0.02   52.6369     0.0163     0.0121
gd153         data/spectroscopy/mmt/gd153-20150518-total.flm                     40087.34       827.45       496.84   7.72         0.07         0.07   0.01       0.01       0.00   3.10       0.00       0.00     479.35       3.76       4.10    7.71         2.15         2.71    4.31         9.43         1.76     789.41241   1182.09268    241.29306   0.04       0.06       0.03   53.7254     0.0196     0.0134
gd71          data/spectroscopy/mmt/gd71-20150124-total.flm                      33283.19       337.46       276.66   7.83         0.06         0.07   0.01       0.01       0.00   3.10       0.00       0.00     565.85       4.41       4.69    4.78         2.87         2.41    3.91         6.17         2.29    6243.33789   6707.12805   3478.12599   0.04       0.06       0.03   53.1312     0.0133     0.0110
gd71          data/spectroscopy/soar/gd71-20160210-total.flm                     33073.46       451.30       258.34   7.80         0.04         0.04   0.01       0.01       0.00   3.10       0.00       0.00     348.23       1.78       2.48    6.98         1.11         1.16    8.44        13.51         3.98     910.47238    952.15611    326.54497   0.04       0.05       0.03   53.1225     0.0178     0.0106
gd71          data/spectroscopy/soar/gd71-20160211-total.flm                     33279.86       437.69       325.53   7.75         0.05         0.05   0.01       0.01       0.01   3.10       0.00       0.00     331.67       2.73       2.81    8.01         0.97         1.03   21.76        11.73         7.46     594.49237    258.93286     75.18757   0.04       0.07       0.03   53.1305     0.0173     0.0130
gd71          data/spectroscopy/soar/gd71-20161005-total.flm                     33221.67       459.94       318.04   7.79         0.04         0.05   0.01       0.01       0.01   3.10       0.00       0.00     343.45       2.86       2.85    6.82         0.78         0.78   34.09         8.98         7.01     566.30942    112.18845     50.28824   0.05       0.08       0.04   53.1286     0.0181     0.0128
gd71          data/spectroscopy/soar/gd71-20161006-total.flm                     33402.75       525.60       368.87   7.70         0.08         0.09   0.01       0.01       0.01   3.10       0.00       0.00     550.21       6.34       6.15   11.89         1.76         1.99   14.91        13.45         5.46     820.09601    811.97616    246.42950   0.03       0.05       0.02   53.1351     0.0207     0.0146
gd71          data/spectroscopy/soar/gd71-20161007-total.flm                     33123.18       445.04       282.45   7.79         0.05         0.06   0.01       0.01       0.00   3.10       0.00       0.00     377.65       3.00       3.06    7.65         0.93         0.91   25.60        11.36         6.37     589.32965    188.74112     69.63789   0.06       0.09       0.04   53.1247     0.0175     0.0115
gd71          data/spectroscopy/soar/gd71-20170222-total.flm                     33166.57       396.06       256.46   7.81         0.04         0.05   0.01       0.01       0.00   3.10       0.00       0.00     453.48       2.37       2.92    6.25         1.26         1.34    5.45         9.87         2.23     823.93427    996.76928    259.15542   0.04       0.05       0.03   53.1264     0.0157     0.0104
gd71          data/spectroscopy/soar/gd71-20170223-total.flm                     33012.00       417.39       240.92   7.82         0.04         0.05   0.01       0.01       0.00   3.10       0.00       0.00     376.14       2.36       2.67    6.43         0.89         0.92   18.16        12.09         4.80     597.47372    244.48911     77.34958   0.04       0.06       0.03   53.1204     0.0165     0.0101
