             obj        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
       zeropoint    -7.507530    0.000811    -6.627494    0.000868    -4.318262    0.000816    -4.731092    0.000615    -5.636881    0.000595    -5.447689    0.000829   
      c20_offset          NaN         NaN    -0.006140    0.002783    -0.023265    0.003814    -0.032297    0.002226    -0.022831    0.004142    -0.012450    0.005192   
   sig_intrinsic     0.003538    0.000590     0.002230    0.000610     0.003041    0.000524     0.001796    0.000694     0.000571    0.000417     0.004738    0.000658   
              nu     2.640870    0.468233     1.573165    0.196008     2.605230    0.453256     3.275809    0.739500     1.422279    0.150587     3.094123    0.549310   
         g191b2b     8.986942    0.001477     9.699596    0.001424    11.589439    0.001294    11.875480    0.001041    12.063892    0.001205    12.625970    0.001463   
           gd153    10.698107    0.001572    11.377081    0.001528    13.190279    0.001777    13.442370    0.001382    13.614312    0.001259    14.154627    0.001694   
            gd71    10.485397    0.001491    11.145336    0.001491    12.889093    0.001503    13.123688    0.001280    13.284585    0.001123    13.808367    0.001881   
     sdssj010322    16.691298    0.004478    17.335733    0.005732    19.173306    0.005360    19.413884    0.004704    19.577158    0.005955    20.095914    0.012077   
     sdssj022817    18.014971    0.008503    18.522753    0.010053    19.904878    0.007013    20.014290    0.006787    20.114537    0.005760    20.477833    0.017179   
     sdssj024854    16.325353    0.003621    16.849900    0.006061    18.459797    0.003017    18.590920    0.002464    18.689875    0.002036    19.080733    0.005740   
     sdssj072752    15.659423    0.002890    16.279928    0.002978    18.083104    0.002764    18.301365    0.002457    18.449100    0.002927    18.957350    0.006861   
     sdssj081508    17.445188    0.006444    18.073123    0.007849    19.806922    0.005311    20.029520    0.005285    20.190789    0.006531    20.702233    0.024518   
     sdssj102430    16.756301    0.017959    17.323262    0.004620    18.994197    0.004604    19.162129    0.003846    19.277604    0.008104    19.731312    0.012706   
     sdssj111059    15.536373    0.003253    16.162786    0.004362    17.956809    0.002532    18.157948    0.001783    18.300977    0.001903    18.797298    0.004752   
     sdssj111127    15.939069    0.004470    16.638838    0.005863    18.510806    0.002938    18.784027    0.003719    18.956315    0.002466    19.538206    0.009150   
     sdssj121405    15.437160    0.002594    16.092002    0.002088    17.851209    0.001960    18.080889    0.002758    18.242869    0.002124    18.778572    0.004102   
     sdssj130234    14.684374    0.001754    15.330845    0.001833    17.126570    0.002377    17.358513    0.002177    17.515785    0.001477    18.043923    0.004480   
     sdssj151421    13.606660    0.001761    14.200001    0.001701    15.799363    0.001695    15.964971    0.001540    16.083756    0.001186    16.527737    0.004373   
     sdssj155745    14.996189    0.002379    15.685792    0.002447    17.560511    0.002792    17.836831    0.001800    18.000835    0.001835    18.574949    0.004671   
     sdssj172135    18.869621    0.013091    18.886248    0.014672    19.747205    0.004561    19.514903    0.003044    19.381045    0.003087    19.292623    0.021037   
     sdssj181424    14.287963    0.001787    14.930568    0.001691    16.634350    0.001964    16.850447    0.001888    17.005249    0.001167    17.526380    0.002465   
     sdssj210150    16.564470    0.003772    17.142857    0.004432    18.746059    0.003099    18.908369    0.002427    19.026147    0.003928    19.480366    0.008155   
     sdssj235144    15.945239    0.003599    16.470351    0.002938    18.165335    0.002710    18.304452    0.002622    18.399107    0.002213    18.815465    0.004270   
     sdssj041053    16.611614    0.009699    17.213332    0.004094    18.969838    0.004873    19.098809    0.003328    19.006559    0.005533    18.238952    0.005526   
          wd0554    15.272283    0.004796    15.962180    0.003518    17.816986    0.004963    18.065417    0.002566    18.229652    0.005031    18.783909    0.006838   
     sdssj120650    16.736104    0.004098    17.297791    0.004177    18.762123    0.004501    18.904954    0.003024    19.023464    0.006352    19.443471    0.008540   
     sdssj131445    16.753960    0.004354    17.405880    0.005193    19.192248    0.004882    19.411775    0.004665    19.568091    0.009097    20.069183    0.012306   
     sdssj163800    16.511286    0.007542    17.126913    0.004191    18.929885    0.004938    19.125691    0.003192    19.272909    0.004726    19.736986    0.008812   
     sdssj203722    16.752654    0.007474    17.352633    0.004355    19.033030    0.006129    19.195522    0.011525    19.284209    0.009776    19.719752    0.023045   
     sdssj232941    16.440367    0.003897    16.918151    0.003887    18.250554    0.005661    18.314524    0.002759    18.387939    0.007110    18.735587    0.006525   
