             obj        F275W      dF275W        F336W      dF336W        F475W      dF475W        F625W      dF625W        F775W      dF775W        F160W      dF160W   
       zeropoint    24.059581    0.000863    24.589879    0.000832    25.577437    0.000865    25.405573    0.000675    24.718866    0.000775    25.811577    0.000926   
      c20_offset          NaN         NaN    -0.032582    0.002689    -0.009103    0.003798    -0.013870    0.002176     0.008900    0.004179    -0.012501    0.005152   
   sig_intrinsic     0.003138    0.000618     0.001719    0.000645     0.002572    0.000620     0.001460    0.000704     0.000574    0.000420     0.004541    0.000664   
              nu     2.451086    0.434828     1.626122    0.212126     2.274824    0.406201     3.186173    0.713606     1.379943    0.151383     2.977583    0.541982   
         g191b2b    10.490362    0.001451    10.890202    0.001369    11.498786    0.001255    12.030686    0.001053    12.451360    0.001319    13.885266    0.001503   
           gd153    12.201587    0.001575    12.567909    0.001464    13.099788    0.001796    13.597642    0.001416    14.001740    0.001340    15.413902    0.001745   
            gd71    11.988752    0.001488    12.335987    0.001409    12.798768    0.001480    13.278968    0.001293    13.671957    0.001225    15.067621    0.001904   
     sdssj010322    18.195214    0.004467    18.526785    0.005492    19.083287    0.005243    19.568610    0.004686    19.964801    0.006173    21.355151    0.012102   
     sdssj022817    19.518266    0.008494    19.715153    0.010409    19.815079    0.007275    20.168955    0.007076    20.501384    0.005679    21.737057    0.017259   
     sdssj024854    17.828525    0.003533    18.039989    0.005827    18.369582    0.002975    18.745926    0.002505    19.077262    0.002108    20.339976    0.005721   
     sdssj072752    17.163590    0.002798    17.471486    0.002905    17.993267    0.002639    18.456731    0.002455    18.837015    0.002941    20.216634    0.006836   
     sdssj081508    18.950493    0.006453    19.263547    0.007957    19.716230    0.005304    20.183825    0.005250    20.579395    0.006373    21.961633    0.024312   
     sdssj102430    18.260623    0.018265    18.514318    0.004450    18.904169    0.004528    19.317432    0.003851    19.664927    0.009940    20.990543    0.012796   
     sdssj111059    17.040629    0.003152    17.354449    0.004276    17.866840    0.002568    18.313511    0.001765    18.688685    0.002029    20.056578    0.004684   
     sdssj111127    17.442895    0.004430    17.829846    0.005629    18.420575    0.002839    18.939016    0.003770    19.344129    0.002549    20.797477    0.009115   
     sdssj121405    16.940068    0.002458    17.282701    0.002088    17.760625    0.001892    18.236241    0.002675    18.629181    0.002084    20.037850    0.004124   
     sdssj130234    16.187890    0.001714    16.521619    0.001732    17.036420    0.002367    17.514039    0.002139    17.903661    0.001608    19.303131    0.004480   
     sdssj151421    15.109996    0.001756    15.390677    0.001611    15.709025    0.001681    16.120167    0.001539    16.471188    0.001280    17.787015    0.004498   
     sdssj155745    16.499867    0.002354    16.876623    0.002371    17.470177    0.002712    17.991717    0.001794    18.388029    0.001893    19.834259    0.004692   
     sdssj172135    20.371425    0.012868    20.078168    0.015511    19.655868    0.004515    19.669883    0.003015    19.767849    0.003061    20.551960    0.020928   
     sdssj181424    15.791345    0.001735    16.121345    0.001589    16.544089    0.001955    17.005627    0.001868    17.392605    0.001275    18.785667    0.002456   
     sdssj210150    18.068120    0.003976    18.334394    0.004330    18.655974    0.002999    19.063643    0.002371    19.413955    0.003840    20.739627    0.008189   
     sdssj235144    17.449361    0.003593    17.661892    0.002863    18.075138    0.002679    18.459482    0.002603    18.786849    0.002299    20.074728    0.004207   
     sdssj041053    18.116172    0.009331    18.404080    0.003933    18.879555    0.004820    19.253708    0.003209    19.393555    0.005414    19.498178    0.005451   
          wd0554    16.775978    0.004657    17.153112    0.003344    17.727073    0.004875    18.220527    0.002536    18.617202    0.005090    20.043116    0.006777   
     sdssj120650    18.239650    0.003932    18.488815    0.004073    18.671866    0.004450    19.060146    0.002950    19.411153    0.006570    20.702747    0.008521   
     sdssj131445    18.257729    0.004248    18.596864    0.005084    19.101794    0.004836    19.566759    0.004588    19.955301    0.009137    21.328409    0.012334   
     sdssj163800    18.015786    0.007534    18.317716    0.004031    18.839878    0.004992    19.280841    0.003139    19.660455    0.004821    20.996266    0.008838   
     sdssj203722    18.256824    0.007213    18.543822    0.004360    18.942763    0.006218    19.350442    0.011718    19.671819    0.009908    20.978954    0.023264   
     sdssj232941    17.943424    0.003720    18.109007    0.003754    18.160694    0.005709    18.469698    0.002697    18.775267    0.007488    19.994853    0.006450   
