   OBJECT-NAME              FILTER    FITS-FILE               EXPTIME      BCKGRMS           X            Y           FMAG         ERRMAG           SKY          MJD   
  
SDSS-J010322.19-002047.7    F275W    icmd20fhq_flc.fits    220.0000        4.6753         257.9364     259.8872      24.1923       0.0055          2.117     56908.7892
SDSS-J010322.19-002047.7    F275W    icmd20fjq_flc.fits    220.0000        4.7071         257.9035     259.8554      24.2006       0.0055          2.316     56908.7924
SDSS-J010322.19-002047.7    F275W    icmd20fmq_flc.fits    220.0000        4.6581         257.8935     259.8515      24.2028       0.0055          1.853     56908.7957
SDSS-J010322.19-002047.7    F625W    icmd20fnq_flc.fits    300.0000        5.0253         257.2622     259.8038      24.1433       0.0046         10.645     56908.7991
SDSS-J010322.19-002047.7    F775W    icmd20fqq_flc.fits    500.0000        5.0405         257.8948     261.1761      25.2173       0.0061         10.758     56908.8034
SDSS-J010322.19-002047.7    F336W    icmd20ftq_flc.fits    100.0000        4.6579         257.8261     260.1331      23.9541       0.0077          1.605     56908.8101
SDSS-J010322.19-002047.7    F475W    icmd20fuq_flc.fits    120.0000        4.9573         257.8217     259.8321      23.4813       0.0054          4.563     56908.8123
             WD-0408-066    F275W    icmd21cgq_flc.fits    220.0000        4.7786         255.4431     249.7414      24.1191       0.0053          1.980     57032.1931
             WD-0408-066    F275W    icmd21ciq_flc.fits    220.0000        4.6750         255.4089     249.7461      24.0977       0.0052          1.394     57032.1963
             WD-0408-066    F275W    icmd21clq_flc.fits    220.0000        4.7553         255.4459     249.7421      24.1383       0.0053          1.819     57032.1995
             WD-0408-066    F625W    icmd21cmq_flc.fits    300.0000        4.9731         255.1587     249.2530      23.8336       0.0039          9.250     57032.2029
             WD-0408-066    F775W    icmd21cpq_flc.fits    500.0000        4.9020         255.2560     251.0358      24.6471       0.0045          8.698     57032.2073
             WD-0408-066    F336W    icmd21csq_flc.fits    100.0000        4.6295         255.1583     249.9418      23.8432       0.0072          1.255     57032.2139
             WD-0408-066    F475W    icmd21ctq_flc.fits    120.0000        4.8770         255.1676     249.1892      23.2977       0.0049          3.621     57032.2161
